Proposal ID,Investigator1,Investigator2
GRT00028907,"Brill, Seuli M","Lai, Albert M"
GRT00028907,"Brill, Seuli M","Modan, Gabriella"
GRT00028907,"Brill, Seuli M","Oluigbo, Nnenna Ebere"
GRT00028907,"Brill, Seuli M","Wills, Celia Emily"
GRT00028907,"Lai, Albert M","Modan, Gabriella"
GRT00028907,"Lai, Albert M","Oluigbo, Nnenna Ebere"
GRT00028907,"Lai, Albert M","Wills, Celia Emily"
GRT00028907,"Modan, Gabriella","Oluigbo, Nnenna Ebere"
GRT00028907,"Modan, Gabriella","Wills, Celia Emily"
GRT00028907,"Oluigbo, Nnenna Ebere","Wills, Celia Emily"
GRT00028908,"Kolb, Stephen J","Burghes, Arthur Harry Macleo"
GRT00028912,"Li, Chenglong","Bloomston, Paul Mark"
GRT00028912,"Li, Chenglong","Liyanarachchi, Sandya"
GRT00028912,"Bloomston, Paul Mark","Liyanarachchi, Sandya"
GRT00028917,"Singh, Rajendra","Dreyer, Jason T."
GRT00028918,"Wiet, Gregory James","Powell, Kimerly Ann"
GRT00028918,"Wiet, Gregory James","Stredney, Donald L"
GRT00028918,"Powell, Kimerly Ann","Stredney, Donald L"
GRT00028921,"Mackey, David M","Blakeslee, Joshua John"
GRT00028925,"Patterson, Emily S","Kowalczyk, Nina Kaye"
GRT00028925,"Patterson, Emily S","Moffatt-Bruce, Susan D."
GRT00028925,"Patterson, Emily S","Rinehart-Thompson, Laurie Ann"
GRT00028925,"Patterson, Emily S","White, Susan Elizabeth"
GRT00028925,"Kowalczyk, Nina Kaye","Moffatt-Bruce, Susan D."
GRT00028925,"Kowalczyk, Nina Kaye","Rinehart-Thompson, Laurie Ann"
GRT00028925,"Kowalczyk, Nina Kaye","White, Susan Elizabeth"
GRT00028925,"Moffatt-Bruce, Susan D.","Rinehart-Thompson, Laurie Ann"
GRT00028925,"Moffatt-Bruce, Susan D.","White, Susan Elizabeth"
GRT00028925,"Rinehart-Thompson, Laurie Ann","White, Susan Elizabeth"
GRT00028927,"Miller, Sally Ann","Ivey, Melanie L. L."
GRT00028930,"Liu, Zhongfa","Hackshaw, Kevin Victor"
GRT00028930,"Liu, Zhongfa","Mo, Xiaokui"
GRT00028930,"Hackshaw, Kevin Victor","Mo, Xiaokui"
GRT00028933,"Doll, Heather Lynn","Frankel, Wendy L"
GRT00028935,"Payne, Philip","Moffatt-Bruce, Susan D."
GRT00028939,"Parvin, Jeffrey","Webb, Amy"
GRT00028940,"Sen, Chandan K","Gordillo, Gayle Marietta"
GRT00028940,"Sen, Chandan K","Roy, Sashwati"
GRT00028940,"Sen, Chandan K","Zweier, Jay Louis"
GRT00028940,"Gordillo, Gayle Marietta","Roy, Sashwati"
GRT00028940,"Gordillo, Gayle Marietta","Zweier, Jay Louis"
GRT00028940,"Roy, Sashwati","Zweier, Jay Louis"
GRT00028941,"Yoon, Sung Ok","Kwon, Chang-Hyuk"
GRT00028943,"Kumar, Sandeep","Bonnell, Joseph Ellis"
GRT00028943,"Kumar, Sandeep","Hoorman, James John"
GRT00028943,"Kumar, Sandeep","Lal, Rattan"
GRT00028943,"Bonnell, Joseph Ellis","Hoorman, James John"
GRT00028943,"Bonnell, Joseph Ellis","Lal, Rattan"
GRT00028943,"Hoorman, James John","Lal, Rattan"
GRT00028945,"Witter, Jonathan D","Islam, Khandakar Rafiq"
GRT00028945,"Witter, Jonathan D","Koontz, Tomas M"
GRT00028945,"Witter, Jonathan D","Mouser, Paula"
GRT00028945,"Islam, Khandakar Rafiq","Koontz, Tomas M"
GRT00028945,"Islam, Khandakar Rafiq","Mouser, Paula"
